2022-10-10 08:06:01 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source configServerClient refreshed
2022-10-10 08:06:01 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source springCloudClientHostInfo refreshed
2022-10-10 08:06:01 [main] INFO  c.u.j.c.CachingDelegateEncryptablePropertySource - Property Source Config resource 'class path resource [application.yml]' via location 'optional:classpath:/' refreshed
2022-10-10 08:06:01 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource server.ports [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2022-10-10 08:06:01 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource configurationProperties [class org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource
2022-10-10 08:06:01 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Skipping PropertySource servletConfigInitParams [class org.springframework.core.env.PropertySource$StubPropertySource
2022-10-10 08:06:01 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource servletContextInitParams [org.springframework.web.context.support.ServletContextPropertySource] to EncryptableEnumerablePropertySourceWrapper
2022-10-10 08:06:01 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 4.774 seconds (JVM running for 5.79)
2022-10-10 08:06:50 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-10 08:06:50 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-10 08:06:50 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-10-10 08:09:44 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/'
2022-10-10 08:09:44 [http-nio-8888-exec-10] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/'
2022-10-10 08:12:46 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/'
2022-10-10 08:12:46 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-7558451554003553423/'
