2022-10-20 10:15:19 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2022-10-20 10:15:19 [main] INFO  c.m.demo.config.server.ConfigServer - Starting ConfigServer using Java 11.0.11 on MacBook-Pro-de-Gilles.local with PID 13145 (/Users/gillescedric/Documents/Formations/EVENT-DRIVEN MICROSERVICES/microvervices-demo/config-server/target/classes started by gillescedric in /Users/gillescedric/Documents/Formations/EVENT-DRIVEN MICROSERVICES/microvervices-demo)
2022-10-20 10:15:19 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to 1 default profile: "default"
2022-10-20 10:15:20 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=a873e672-d4db-3287-9e1b-0f62c943b4bb
2022-10-20 10:15:21 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-10-20 10:15:21 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-10-20 10:15:21 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-10-20 10:15:21 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-20 10:15:21 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-20 10:15:21 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1497 ms
2022-10-20 10:15:21 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/encrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-20 10:15:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/encrypt/**']
2022-10-20 10:15:21 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/decrypt/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-20 10:15:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/decrypt/**']
2022-10-20 10:15:21 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/actuator/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2022-10-20 10:15:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/actuator/**']
2022-10-20 10:15:21 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2fd9fb34, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1595d2b2, org.springframework.security.web.context.SecurityContextPersistenceFilter@372f0a99, org.springframework.security.web.header.HeaderWriterFilter@38732364, org.springframework.security.web.csrf.CsrfFilter@57186526, org.springframework.security.web.authentication.logout.LogoutFilter@42c0a16e, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@27a9f025, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@492521c4, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@20349058, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2313db84, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3e5beab5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4f1afe8f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6cbb7a7d, org.springframework.security.web.session.SessionManagementFilter@48cd319d, org.springframework.security.web.access.ExceptionTranslationFilter@1e226bcd, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7c453c34]
2022-10-20 10:15:23 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-10-20 10:15:23 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-10-20 10:15:23 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 4.716 seconds (JVM running for 5.903)
2022-10-20 10:15:54 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-20 10:15:54 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-20 10:15:54 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2022-10-20 10:15:55 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client-twitter_to_kafka.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:15:55 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:16:53 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client-kafka_to_elastic.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:16:53 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:19:57 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Fetched for remote main and found 1 updates
2022-10-20 10:19:57 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client-kafka_to_elastic.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:19:57 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:29:36 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client-kafka_to_elastic.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
2022-10-20 10:29:36 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/config-client.yml]' via location 'file:/var/folders/7s/f7nqr7zx6f9d7vcfxnfy2lt40000gn/T/config-repo-11571489559563393043/'
